250
(-1.000000, 0.536573, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.992000, 0.614988, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.984000, 0.687740, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.976000, 0.754158, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.968000, 0.813631, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.960000, 0.865612, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.952000, 0.909621, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.944000, 0.945254, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.936000, 0.972182, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.928000, 0.990157, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.920000, 0.999013, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.912000, 0.998670, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.904000, 0.989130, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.896000, 0.970481, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.888000, 0.942896, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.880000, 0.906627, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.872000, 0.862009, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.864000, 0.809452, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.856000, 0.749442, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
