20
(-2.000000, 13.503552, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-1.400000, 11.758587, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.800000, 10.180429, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.200000, 8.769081, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.400000, 7.524540, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(1.000000, 6.446808, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(1.600000, 5.535883, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(2.200000, 4.791767, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(2.800000, 4.214459, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(3.400000, 3.803960, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(4.000000, 3.560268, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(4.600000, 3.483384, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(5.200000, 3.573309, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(5.800000, 3.830042, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(6.400000, 4.253582, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(7.000000, 4.843932, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(7.599999, 5.601089, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(8.200000, 6.525054, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(8.800000, 7.615829, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(9.400001, 8.873411, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
