3750
(-5,-5,0.984501) (0.639506, 0.639506, 0.426691) (0, 0)
(-4.6,-5,0.317908) (0.657726, 0.657539, 0.367475) (0, 0)
(-5,-4.6,0.317908) (0.657539, 0.657726, 0.367475) (0, 0)
(-5,-4.6,0.317908) (0.657539, 0.657726, 0.367475) (0, 0)
(-4.6,-5,0.317908) (0.657726, 0.657539, 0.367475) (0, 0)
(-4.6,-4.6,-0.409602) (0.658096, 0.658096, 0.365813) (0, 0)
(-5,-4.6,0.317908) (0.657539, 0.657726, 0.367475) (0, 0)
(-4.6,-4.6,-0.409602) (0.658096, 0.658096, 0.365813) (0, 0)
(-5,-4.2,-0.40934) (0.658279, 0.6578, 0.366016) (0, 0)
(-5,-4.2,-0.40934) (0.658279, 0.6578, 0.366016) (0, 0)
(-4.6,-4.6,-0.409602) (0.658096, 0.658096, 0.365813) (0, 0)
(-4.6,-4.2,-1.08249) (0.641502, 0.640771, 0.421768) (0, 0)
(-5,-4.2,-0.40934) (0.658279, 0.6578, 0.366016) (0, 0)
(-4.6,-4.2,-1.08249) (0.641502, 0.640771, 0.421768) (0, 0)
(-5,-3.8,-1.0811) (0.642085, 0.639894, 0.422212) (0, 0)
(-5,-3.8,-1.0811) (0.642085, 0.639894, 0.422212) (0, 0)
(-4.6,-4.2,-1.08249) (0.641502, 0.640771, 0.421768) (0, 0)
(-4.6,-3.8,-1.59173) (0.577652, 0.5747, 0.579688) (0, 0)
(-5,-3.8,-1.0811) (0.642085, 0.639894, 0.422212) (0, 0)
(-4.6,-3.8,-1.59173) (0.577652, 0.5747, 0.579688) (0, 0)
(-5,-3.4,-1.58868) (0.578751, 0.57285, 0.580423) (0, 0)
(-5,-3.4,-1.58868) (0.578751, 0.57285, 0.580423) (0, 0)
(-4.6,-3.8,-1.59173) (0.577652, 0.5747, 0.579688) (0, 0)
(-4.6,-3.4,-1.85338) (0.281987, 0.273807, 0.919518) (0, 0)
(-5,-3.4,-1.58868) (0.578751, 0.57285, 0.580423) (0, 0)
(-4.6,-3.4,-1.85338) (0.281987, 0.273807, 0.919518) (0, 0)
(-5,-3,-1.84864) (0.284089, 0.270485, 0.919854) (0, 0)
(-5,-3,-1.84864) (0.284089, 0.270485, 0.919854) (0, 0)
(-4.6,-3.4,-1.85338) (0.281987, 0.273807, 0.919518) (0, 0)
(-4.6,-3,-1.82252) (-0.371926, -0.381795, 0.846111) (0, 0)
(-5,-3,-1.84864) (0.284089, 0.270485, 0.919854) (0, 0)
(-4.6,-3,-1.82252) (-0.371926, -0.381795, 0.846111) (0, 0)
(-5,-2.6,-1.8167) (-0.368601, -0.38337, 0.846853) (0, 0)
(-5,-2.6,-1.8167) (-0.368601, -0.38337, 0.846853) (0, 0)
(-4.6,-3,-1.82252) (-0.371926, -0.381795, 0.846111) (0, 0)
(-4.6,-2.6,-1.50113) (-0.59608, -0.602454, 0.53079) (0, 0)
(-5,-2.6,-1.8167) (-0.368601, -0.38337, 0.846853) (0, 0)
(-4.6,-2.6,-1.50113) (-0.59608, -0.602454, 0.53079) (0, 0)
(-5,-2.2,-1.49537) (-0.594154, -0.603068, 0.532249) (0, 0)
(-5,-2.2,-1.49537) (-0.594154, -0.603068, 0.532249) (0, 0)
(-4.6,-2.6,-1.50113) (-0.59608, -0.602454, 0.53079) (0, 0)
(-4.6,-2.2,-0.938151) (-0.647407, -0.650977, 0.396349) (0, 0)
(-5,-2.2,-1.49537) (-0.594154, -0.603068, 0.532249) (0, 0)
(-4.6,-2.2,-0.938151) (-0.647407, -0.650977, 0.396349) (0, 0)
(-5,-1.8,-0.933957) (-0.646354, -0.65111, 0.397847) (0, 0)
(-5,-1.8,-0.933957) (-0.646354, -0.65111, 0.397847) (0, 0)
(-4.6,-2.2,-0.938151) (-0.647407, -0.650977, 0.396349) (0, 0)
(-4.6,-1.8,-0.221995) (-0.661791, -0.662663, 0.350585) (0, 0)
(-5,-1.8,-0.933957) (-0.646354, -0.65111, 0.397847) (0, 0)
(-4.6,-1.8,-0.221995) (-0.661791, -0.662663, 0.350585) (0, 0)
(-5,-1.4,-0.220862) (-0.661249, -0.662369, 0.352162) (0, 0)
(-5,-1.4,-0.220862) (-0.661249, -0.662369, 0.352162) (0, 0)
(-4.6,-1.8,-0.221995) (-0.661791, -0.662663, 0.350585) (0, 0)
(-4.6,-1.4,0.533581) (-0.661268, -0.658818, 0.358725) (0, 0)
(-5,-1.4,-0.220862) (-0.661249, -0.662369, 0.352162) (0, 0)
(-4.6,-1.4,0.533581) (-0.661268, -0.658818, 0.358725) (0, 0)
(-5,-0.999999,0.530515) (-0.661081, -0.658021, 0.360528) (0, 0)
(-5,-0.999999,0.530515) (-0.661081, -0.658021, 0.360528) (0, 0)
(-4.6,-1.4,0.533581) (-0.661268, -0.658818, 0.358725) (0, 0)
(-4.6,-0.999999,1.2078) (-0.643106, -0.635679, 0.426998) (0, 0)
(-5,-0.999999,0.530515) (-0.661081, -0.658021, 0.360528) (0, 0)
(-4.6,-0.999999,1.2078) (-0.643106, -0.635679, 0.426998) (0, 0)
(-5,-0.599999,1.2001) (-0.643172, -0.634105, 0.429233) (0, 0)
(-5,-0.599999,1.2001) (-0.643172, -0.634105, 0.429233) (0, 0)
(-4.6,-0.999999,1.2078) (-0.643106, -0.635679, 0.426998) (0, 0)
(-4.6,-0.599999,1.69248) (-0.567781, -0.551225, 0.611372) (0, 0)
(-5,-0.599999,1.2001) (-0.643172, -0.634105, 0.429233) (0, 0)
(-4.6,-0.599999,1.69248) (-0.567781, -0.551225, 0.611372) (0, 0)
(-5,-0.199999,1.6806) (-0.567916, -0.548103, 0.614048) (0, 0)
(-5,-0.199999,1.6806) (-0.567916, -0.548103, 0.614048) (0, 0)
(-4.6,-0.599999,1.69248) (-0.567781, -0.551225, 0.611372) (0, 0)
(-4.6,-0.199999,1.90962) (-0.196139, -0.163644, 0.966825) (0, 0)
(-5,-0.199999,1.6806) (-0.567916, -0.548103, 0.614048) (0, 0)
(-4.6,-0.199999,1.90962) (-0.196139, -0.163644, 0.966825) (0, 0)
(-5,0.200001,1.89501) (-0.197647, -0.159524, 0.967206) (0, 0)
(-5,0.200001,1.89501) (-0.197647, -0.159524, 0.967206) (0, 0)
(-4.6,-0.199999,1.90962) (-0.196139, -0.163644, 0.966825) (0, 0)
(-4.6,0.200001,1.82419) (0.431543, 0.458748, 0.776737) (0, 0)
(-5,0.200001,1.89501) (-0.197647, -0.159524, 0.967206) (0, 0)
(-4.6,0.200001,1.82419) (0.431543, 0.458748, 0.776737) (0, 0)
(-5,0.600001,1.80908) (0.427091, 0.458669, 0.779241) (0, 0)
(-5,0.600001,1.80908) (0.427091, 0.458669, 0.779241) (0, 0)
(-4.6,0.200001,1.82419) (0.431543, 0.458748, 0.776737) (0, 0)
(-4.6,0.600001,1.44984) (0.606828, 0.62176, 0.495152) (0, 0)
(-5,0.600001,1.80908) (0.427091, 0.458669, 0.779241) (0, 0)
(-4.6,0.600001,1.44984) (0.606828, 0.62176, 0.495152) (0, 0)
(-5,1,1.43691) (0.60433, 0.621521, 0.498495) (0, 0)
(-5,1,1.43691) (0.60433, 0.621521, 0.498495) (0, 0)
(-4.6,0.600001,1.44984) (0.606828, 0.62176, 0.495152) (0, 0)
(-4.6,1,0.846671) (0.649792, 0.65704, 0.382189) (0, 0)
(-5,1,1.43691) (0.60433, 0.621521, 0.498495) (0, 0)
(-4.6,1,0.846671) (0.649792, 0.65704, 0.382189) (0, 0)
(-5,1.4,0.838582) (0.648354, 0.656626, 0.385329) (0, 0)
(-5,1.4,0.838582) (0.648354, 0.656626, 0.385329) (0, 0)
(-4.6,1,0.846671) (0.649792, 0.65704, 0.382189) (0, 0)
(-4.6,1.4,0.111471) (0.662475, 0.663405, 0.34788) (0, 0)
(-5,1.4,0.838582) (0.648354, 0.656626, 0.385329) (0, 0)
(-4.6,1.4,0.111471) (0.662475, 0.663405, 0.34788) (0, 0)
(-5,1.8,0.110336) (0.661585, 0.662638, 0.351022) (0, 0)
(-5,1.8,0.110336) (0.661585, 0.662638, 0.351022) (0, 0)
(-4.6,1.4,0.111471) (0.662475, 0.663405, 0.34788) (0, 0)
(-4.6,1.8,-0.638068) (0.661043, 0.655066, 0.365939) (0, 0)
(-5,1.8,0.110336) (0.661585, 0.662638, 0.351022) (0, 0)
(-4.6,1.8,-0.638068) (0.661043, 0.655066, 0.365939) (0, 0)
(-5,2.2,-0.631163) (0.660443, 0.653728, 0.369397) (0, 0)
(-5,2.2,-0.631163) (0.660443, 0.653728, 0.369397) (0, 0)
(-4.6,1.8,-0.638068) (0.661043, 0.655066, 0.365939) (0, 0)
(-4.6,2.2,-1.28247) (0.639531, 0.623861, 0.449218) (0, 0)
(-5,2.2,-0.631163) (0.660443, 0.653728, 0.369397) (0, 0)
(-4.6,2.2,-1.28247) (0.639531, 0.623861, 0.449218) (0, 0)
(-5,2.6,-1.26778) (0.638943, 0.62147, 0.453351) (0, 0)
(-5,2.6,-1.26778) (0.638943, 0.62147, 0.453351) (0, 0)
(-4.6,2.2,-1.28247) (0.639531, 0.623861, 0.449218) (0, 0)
(-4.6,2.6,-1.71983) (0.544374, 0.511441, 0.664895) (0, 0)
(-5,2.6,-1.26778) (0.638943, 0.62147, 0.453351) (0, 0)
(-4.6,2.6,-1.71983) (0.544374, 0.511441, 0.664895) (0, 0)
(-5,3,-1.69904) (0.543221, 0.506828, 0.669355) (0, 0)
(-5,3,-1.69904) (0.543221, 0.506828, 0.669355) (0, 0)
(-4.6,2.6,-1.71983) (0.544374, 0.511441, 0.664895) (0, 0)
(-4.6,3,-1.88212) (0.0892061, 0.0322475, 0.995491) (0, 0)
(-5,3,-1.69904) (0.543221, 0.506828, 0.669355) (0, 0)
(-4.6,3,-1.88212) (0.0892061, 0.0322475, 0.995491) (0, 0)
(-5,3.4,-1.85819) (0.0910256, 0.0288759, 0.99543) (0, 0)
(-5,3.4,-1.85819) (0.0910256, 0.0288759, 0.99543) (0, 0)
(-4.6,3,-1.88212) (0.0892061, 0.0322475, 0.995491) (0, 0)
(-4.6,3.4,-1.746) (-0.467706, -0.508114, 0.723237) (0, 0)
(-5,3.4,-1.85819) (0.0910256, 0.0288759, 0.99543) (0, 0)
(-4.6,3.4,-1.746) (-0.467706, -0.508114, 0.723237) (0, 0)
(-5,3.8,-1.72269) (-0.462363, -0.506495, 0.727793) (0, 0)
(-5,3.8,-1.72269) (-0.462363, -0.506495, 0.727793) (0, 0)
(-4.6,3.4,-1.746) (-0.467706, -0.508114, 0.723237) (0, 0)
(-4.6,3.8,-1.33611) (-0.609848, -0.631354, 0.479038) (0, 0)
(-5,3.8,-1.72269) (-0.462363, -0.506495, 0.727793) (0, 0)
(-4.6,3.8,-1.33611) (-0.609848, -0.631354, 0.479038) (0, 0)
(-5,4.2,-1.31743) (-0.606825, -0.630301, 0.484235) (0, 0)
(-5,4.2,-1.31743) (-0.606825, -0.630301, 0.484235) (0, 0)
(-4.6,3.8,-1.33611) (-0.609848, -0.631354, 0.479038) (0, 0)
(-4.6,4.2,-0.720683) (-0.64823, -0.657953, 0.383269) (0, 0)
(-5,4.2,-1.31743) (-0.606825, -0.630301, 0.484235) (0, 0)
(-4.6,4.2,-0.720683) (-0.64823, -0.657953, 0.383269) (0, 0)
(-5,4.6,-0.710152) (-0.646369, -0.656952, 0.3881) (0, 0)
(-5,4.6,-0.710152) (-0.646369, -0.656952, 0.3881) (0, 0)
(-4.6,4.2,-0.720683) (-0.64823, -0.657953, 0.383269) (0, 0)
(-4.6,4.6,1.75255e-06) (-0.659938, -0.659938, 0.359114) (0, 0)
(-5,4.6,-0.710152) (-0.646369, -0.656952, 0.3881) (0, 0)
(-4.6,4.6,1.75255e-06) (-0.659938, -0.659938, 0.359114) (0, 0)
(-5,5,1.72584e-06) (-0.658615, -0.658615, 0.363941) (0, 0)
(-5,5,1.72584e-06) (-0.658615, -0.658615, 0.363941) (0, 0)
(-4.6,4.6,1.75255e-06) (-0.659938, -0.659938, 0.359114) (0, 0)
(-4.6,5,0.710155) (-0.656952, -0.646369, 0.3881) (0, 0)
(-4.6,-5,0.317908) (0.657726, 0.657539, 0.367475) (0, 0)
(-4.2,-5,-0.40934) (0.6578, 0.658279, 0.366016) (0, 0)
(-4.6,-4.6,-0.409602) (0.658096, 0.658096, 0.365813) (0, 0)
(-4.6,-4.6,-0.409602) (0.658096, 0.658096, 0.365813) (0, 0)
(-4.2,-5,-0.40934) (0.6578, 0.658279, 0.366016) (0, 0)
(-4.2,-4.6,-1.08249) (0.640771, 0.641502, 0.421768) (0, 0)
(-4.6,-4.6,-0.409602) (0.658096, 0.658096, 0.365813) (0, 0)
(-4.2,-4.6,-1.08249) (0.640771, 0.641502, 0.421768) (0, 0)
(-4.6,-4.2,-1.08249) (0.641502, 0.640771, 0.421768) (0, 0)
(-4.6,-4.2,-1.08249) (0.641502, 0.640771, 0.421768) (0, 0)
(-4.2,-4.6,-1.08249) (0.640771, 0.641502, 0.421768) (0, 0)
(-4.2,-4.2,-1.59275) (0.576301, 0.576301, 0.579443) (0, 0)
(-4.6,-4.2,-1.08249) (0.641502, 0.640771, 0.421768) (0, 0)
(-4.2,-4.2,-1.59275) (0.576301, 0.576301, 0.579443) (0, 0)
(-4.6,-3.8,-1.59173) (0.577652, 0.5747, 0.579688) (0, 0)
(-4.6,-3.8,-1.59173) (0.577652, 0.5747, 0.579688) (0, 0)
(-4.2,-4.2,-1.59275) (0.576301, 0.576301, 0.579443) (0, 0)
(-4.2,-3.8,-1.85575) (0.279566, 0.276837, 0.91935) (0, 0)
(-4.6,-3.8,-1.59173) (0.577652, 0.5747, 0.579688) (0, 0)
(-4.2,-3.8,-1.85575) (0.279566, 0.276837, 0.91935) (0, 0)
(-4.6,-3.4,-1.85338) (0.281987, 0.273807, 0.919518) (0, 0)
(-4.6,-3.4,-1.85338) (0.281987, 0.273807, 0.919518) (0, 0)
(-4.2,-3.8,-1.85575) (0.279566, 0.276837, 0.91935) (0, 0)
(-4.2,-3.4,-1.82602) (-0.374914, -0.379856, 0.845665) (0, 0)
(-4.6,-3.4,-1.85338) (0.281987, 0.273807, 0.919518) (0, 0)
(-4.2,-3.4,-1.82602) (-0.374914, -0.379856, 0.845665) (0, 0)
(-4.6,-3,-1.82252) (-0.371926, -0.381795, 0.846111) (0, 0)
(-4.6,-3,-1.82252) (-0.371926, -0.381795, 0.846111) (0, 0)
(-4.2,-3.4,-1.82602) (-0.374914, -0.379856, 0.845665) (0, 0)
(-4.2,-3,-1.50498) (-0.597789, -0.601616, 0.529818) (0, 0)
(-4.6,-3,-1.82252) (-0.371926, -0.381795, 0.846111) (0, 0)
(-4.2,-3,-1.50498) (-0.597789, -0.601616, 0.529818) (0, 0)
(-4.6,-2.6,-1.50113) (-0.59608, -0.602454, 0.53079) (0, 0)
(-4.6,-2.6,-1.50113) (-0.59608, -0.602454, 0.53079) (0, 0)
(-4.2,-3,-1.50498) (-0.597789, -0.601616, 0.529818) (0, 0)
(-4.2,-2.6,-0.941158) (-0.648328, -0.650709, 0.395282) (0, 0)
(-4.6,-2.6,-1.50113) (-0.59608, -0.602454, 0.53079) (0, 0)
(-4.2,-2.6,-0.941158) (-0.648328, -0.650709, 0.395282) (0, 0)
(-4.6,-2.2,-0.938151) (-0.647407, -0.650977, 0.396349) (0, 0)
(-4.6,-2.2,-0.938151) (-0.647407, -0.650977, 0.396349) (0, 0)
(-4.2,-2.6,-0.941158) (-0.648328, -0.650709, 0.395282) (0, 0)
(-4.2,-2.2,-0.222849) (-0.662227, -0.66285, 0.349406) (0, 0)
(-4.6,-2.2,-0.938151) (-0.647407, -0.650977, 0.396349) (0, 0)
(-4.2,-2.2,-0.222849) (-0.662227, -0.66285, 0.349406) (0, 0)
(-4.6,-1.8,-0.221995) (-0.661791, -0.662663, 0.350585) (0, 0)
(-4.6,-1.8,-0.221995) (-0.661791, -0.662663, 0.350585) (0, 0)
